,구별,연령별,시도간전입(2015),시도간전입(2016),시도간전입(2017),시도간전입(2018),시도간전입(2019),시도간전입(2020),시도간전입(2021),시도간전입(2022)
102,광주광역시,50 - 54세,4304,3659,3494,3779,3779,3735,3552,3111
103,광주광역시,55 - 59세,3618,3420,3380,3762,3445,3400,3094,2663
104,광주광역시,60 - 64세,2473,2377,2281,2627,2681,2870,2912,2467
105,광주광역시,65 - 69세,1715,1531,1509,1750,1586,1575,1600,1357
106,광주광역시,70 - 74세,1313,1133,1118,1132,1092,1079,1100,936
107,광주광역시,75 - 79세,1044,1065,1076,1126,1056,833,797,627
108,광주광역시,80세이상,1608,1617,1636,1766,1810,1527,1468,1356
109,대전광역시,계,81165,80376,79793,79561,78429,81741,80030,75421
110,대전광역시,0 - 4세,4672,4530,4176,3926,3311,3127,2845,2652
111,대전광역시,5 - 9세,3104,2840,2737,2476,2304,2312,2038,1920
112,대전광역시,10 - 14세,2354,1964,1890,1750,1666,1611,1405,1381
113,대전광역시,15 - 19세,4369,4228,4406,4363,4309,4055,3861,3850
114,대전광역시,20 - 24세,10316,11136,11263,11747,12620,14210,15111,14175
115,대전광역시,25 - 29세,12607,13008,13237,13792,14326,15157,15515,14958
116,대전광역시,30 - 34세,10946,10605,9934,9156,8883,9239,9493,9053
117,대전광역시,35 - 39세,7518,7393,7532,7240,6936,6867,6071,5618
118,대전광역시,40 - 44세,6004,5501,5251,5087,4593,4866,4540,4219
119,대전광역시,45 - 49세,4778,4657,4760,4752,4679,4547,4072,3608
120,대전광역시,50 - 54세,4005,3747,3699,3768,3840,4090,3828,3762
121,대전광역시,55 - 59세,3376,3562,3506,3701,3374,3500,3136,2988
122,대전광역시,60 - 64세,2220,2447,2581,2709,2767,3050,3020,2829
123,대전광역시,65 - 69세,1440,1485,1486,1554,1503,1748,1771,1583
124,대전광역시,70 - 74세,1155,1002,1025,1043,1001,1104,1050,938
125,대전광역시,75 - 79세,946,902,899,958,858,815,791,609
126,대전광역시,80세이상,1355,1369,1411,1539,1459,1443,1483,1278
127,울산광역시,계,54262,44848,40410,39230,40073,40475,39412,36584
128,울산광역시,0 - 4세,2724,2260,2014,1771,1691,1328,1040,964
129,울산광역시,5 - 9세,1753,1388,1320,1220,1222,1196,881,867
130,울산광역시,10 - 14세,1447,1032,850,825,879,858,723,695
131,울산광역시,15 - 19세,2170,1887,1599,1550,1545,1412,1293,1300
132,울산광역시,20 - 24세,6172,5674,4981,4837,4941,5432,6114,5840
133,울산광역시,25 - 29세,8750,7541,6650,6791,7343,7674,7937,7591
134,울산광역시,30 - 34세,7744,6055,5193,4574,4672,4699,4464,4389
135,울산광역시,35 - 39세,5250,4339,4151,4034,3901,3670,3130,2778
136,울산광역시,40 - 44세,4318,3195,2892,2685,2665,2785,2536,2429
137,울산광역시,45 - 49세,3513,2754,2567,2478,2555,2505,2263,1914
138,울산광역시,50 - 54세,3020,2293,2054,2154,2209,2296,2231,2062
139,울산광역시,55 - 59세,2487,2058,1956,2066,2004,1981,1894,1610
140,울산광역시,60 - 64세,1556,1438,1362,1433,1592,1735,1844,1533
141,울산광역시,65 - 69세,954,798,824,778,878,952,1013,876
142,울산광역시,70 - 74세,798,569,535,521,536,567,606,513
143,울산광역시,75 - 79세,681,616,561,543,518,484,453,396
144,울산광역시,80세이상,925,951,901,970,922,901,990,827
145,세종특별자치시,계,70004,50506,58828,57983,54017,48889,46875,40237
146,세종특별자치시,0 - 4세,6010,3796,4415,4003,3556,2656,2163,1843
147,세종특별자치시,5 - 9세,5602,3277,3841,3666,3071,2682,2320,2112
148,세종특별자치시,10 - 14세,4253,2287,2802,2509,2085,1888,1677,1594
149,세종특별자치시,15 - 19세,3180,2164,2601,2596,2213,1890,1833,1608
150,세종특별자치시,20 - 24세,4037,3520,4064,4303,3943,3931,4156,3670
151,세종특별자치시,25 - 29세,5541,5102,5677,6253,6343,6109,6237,5395
152,세종특별자치시,30 - 34세,8759,6465,7189,6977,6837,5621,5554,4969
153,세종특별자치시,35 - 39세,8659,6106,7195,7015,6498,5469,4601,4064
154,세종특별자치시,40 - 44세,7602,4679,5468,5007,4485,4206,3955,3430
155,세종특별자치시,45 - 49세,4687,3594,4302,4122,3912,3632,3397,2600
156,세종특별자치시,50 - 54세,3692,2834,3243,3154,3244,2966,3180,2518
157,세종특별자치시,55 - 59세,2989,2414,2939,3013,2730,2481,2459,1963
158,세종특별자치시,60 - 64세,1932,1704,2018,2265,2112,2156,2157,1860
159,세종특별자치시,65 - 69세,1168,984,1164,1221,1124,1202,1286,1024
160,세종특별자치시,70 - 74세,757,617,711,669,723,767,764,585
161,세종특별자치시,75 - 79세,519,433,527,533,464,489,454,374
162,세종특별자치시,80세이상,617,530,672,677,677,744,682,628
163,경기도,계,646816,657492,629137,675213,639254,704511,670399,541845
164,경기도,0 - 4세,38009,38716,35587,38000,31237,31001,24738,18225
165,경기도,5 - 9세,23034,23690,22938,25172,21707,24816,21594,15568
166,경기도,10 - 14세,18464,16968,15456,17259,15383,17046,15552,12328
167,경기도,15 - 19세,31022,30934,29218,29063,29261,28500,26739,23902
168,경기도,20 - 24세,57230,60394,57323,59364,62213,70965,70538,59667
169,경기도,25 - 29세,78637,80678,81326,89698,91434,100613,100775,85854
170,경기도,30 - 34세,90497,86723,80354,82804,77719,84304,82956,70541
171,경기도,35 - 39세,66703,69668,68918,77002,69842,74751,66169,50082
