"ÇàÁ¤±¸¿ªº°","Ç×¸ñ",2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"ÇàÁ¤±¸¿ªº°","Ç×¸ñ",°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó,°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó,°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó,°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó
"Àå¼ö±º","±Í³ó°¡±¸¿ø¼ö (¸í)",93,20,13,31,24,5,86,15,14,25,28,4,89,15,9,24,32,9,50,9,4,20,15,X
"ÀÓ½Ç±º","±Í³ó°¡±¸¿ø¼ö (¸í)",122,20,14,43,35,10,188,31,12,64,68,13,126,14,14,32,54,12,118,10,8,35,53,12
"¼øÃ¢±º","±Í³ó°¡±¸¿ø¼ö (¸í)",134,28,13,46,34,13,118,20,18,43,26,11,159,37,18,42,45,17,112,28,16,30,33,5
"°íÃ¢±º","±Í³ó°¡±¸¿ø¼ö (¸í)",248,63,47,62,62,14,171,28,32,55,49,7,236,46,35,70,62,23,189,37,29,53,56,14
"ºÎ¾È±º","±Í³ó°¡±¸¿ø¼ö (¸í)",156,38,23,46,36,13,171,52,28,45,37,9,137,34,19,46,29,9,120,23,15,36,37,9
"Àü¶ó³²µµ","±Í³ó°¡±¸¿ø¼ö (¸í)",2784,638,390,867,695,194,3108,648,454,938,830,238,3453,689,437,1047,1014,266,2523,415,334,741,847,186
"¿©¼ö½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",69,14,13,24,13,5,82,17,6,30,24,5,107,35,17,30,19,6,96,22,9,33,25,7
"¼øÃµ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",144,43,19,40,34,8,190,50,19,59,52,10,212,53,29,63,50,17,150,30,24,39,48,9
"³ªÁÖ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",219,52,34,70,47,16,202,45,24,61,59,13,196,33,31,57,58,17,169,26,24,50,51,18
"±¤¾ç½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",57,14,12,12,17,X,66,11,7,28,17,X,115,23,13,41,27,11,53,5,8,20,15,5
